2.1 10.5 -2.51386
2.11 10.55 -2.59157
2.12 10.6 -2.66347
2.13 10.65 -2.72934
2.14 10.7 -2.78895
2.15 10.75 -2.84209
2.16 10.8 -2.88854
2.17 10.85 -2.92814
2.18 10.9 -2.9607
2.19 10.95 -2.98608
2.2 11 -3.00414
2.21 11.05 -3.01475
2.22 11.1 -3.01783
2.23 11.15 -3.01328
2.24 11.2 -3.00104
2.25 11.25 -2.98106
2.26 11.3 -2.95332
2.27 11.35 -2.9178
2.28 11.4 -2.87453
2.29 11.45 -2.82353
2.3 11.5 -2.76485
2.31 11.55 -2.69856
2.32 11.6 -2.62477
2.33 11.65 -2.54357
2.34 11.7 -2.45511
2.35 11.75 -2.35952
2.36 11.8 -2.25699
2.37 11.85 -2.1477
2.38 11.9 -2.03187
2.39 11.95 -1.90971
2.4 12 -1.78148
2.41 12.05 -1.64745
2.42 12.1 -1.50789
2.43 12.15 -1.36309
2.44 12.2 -1.21339
2.45 12.25 -1.0591
2.46 12.3 -0.900576
2.47 12.35 -0.738173
2.48 12.4 -0.572264
2.49 12.45 -0.403236
2.5 12.5 -0.231486
2.51 12.55 -0.0574229
2.52 12.6 0.118535
2.53 12.65 0.295961
2.54 12.7 0.47442
2.55 12.75 0.653468
2.56 12.8 0.832657
2.57 12.85 1.01154
2.58 12.9 1.18964
2.59 12.95 1.36653
2.6 13 1.54172
2.61 13.05 1.71476
2.62 13.1 1.88519
2.63 13.15 2.05255
2.64 13.2 2.21638
2.65 13.25 2.37624
2.66 13.3 2.53167
2.67 13.35 2.68225
2.68 13.4 2.82753
2.69 13.45 2.9671
2.7 13.5 3.10054
2.71 13.55 3.22746
2.72 13.6 3.34746
2.73 13.65 3.46018
2.74 13.7 3.56525
2.75 13.75 3.66233
2.76 13.8 3.7511
2.77 13.85 3.83124
2.78 13.9 3.90246
2.79 13.95 3.96451
2.8 14 4.01711
2.81 14.05 4.06005
2.82 14.1 4.09313
2.83 14.15 4.11615
2.84 14.2 4.12896
2.85 14.25 4.13142
2.86 14.3 4.12342
2.87 14.35 4.10489
2.88 14.4 4.07575
2.89 14.45 4.03598
2.9 14.5 3.98556
2.91 14.55 3.92453
2.92 14.6 3.85293
2.93 14.65 3.77084
2.94 14.7 3.67835
2.95 14.75 3.5756
2.96 14.8 3.46275
2.97 14.85 3.33997
2.98 14.9 3.20749
2.99 14.95 3.06554
3 15 2.91439
3.01 15.05 2.75432
3.02 15.1 2.58565
3.03 15.15 2.40873
3.04 15.2 2.22392
3.05 15.25 2.03161
3.06 15.3 1.83222
3.07 15.35 1.62617
3.08 15.4 1.41392
3.09 15.45 1.19596
3.1 15.5 0.972765
3.11 15.55 0.744863
3.12 15.6 0.51278
3.13 15.65 0.277064
3.14 15.7 0.0382762
3.15 15.75 -0.203009
3.16 15.8 -0.446204
3.17 15.85 -0.690711
3.18 15.9 -0.935923
3.19 15.95 -1.18122
3.2 16 -1.42599
3.21 16.05 -1.66961
3.22 16.1 -1.91143
3.23 16.15 -2.15084
3.24 16.2 -2.38719
3.25 16.25 -2.61986
3.26 16.3 -2.84823
3.27 16.35 -3.07166
3.28 16.4 -3.28955
3.29 16.45 -3.50128
3.3 16.5 -3.70625
3.31 16.55 -3.90388
3.32 16.6 -4.0936
3.33 16.65 -4.27483
3.34 16.7 -4.44704
3.35 16.75 -4.60969
3.36 16.8 -4.76229
3.37 16.85 -4.90434
3.38 16.9 -5.03537
3.39 16.95 -5.15494
3.4 17 -5.26264
3.41 17.05 -5.35807
3.42 17.1 -5.44086
3.43 17.15 -5.51068
3.44 17.2 -5.56722
3.45 17.25 -5.6102
3.46 17.3 -5.63938
3.47 17.35 -5.65455
3.48 17.4 -5.65552
3.49 17.45 -5.64216
3.5 17.5 -5.61434
3.51 17.55 -5.572
3.52 17.6 -5.5151
3.53 17.65 -5.44363
3.54 17.7 -5.35764
3.55 17.75 -5.25718
3.56 17.8 -5.14238
3.57 17.85 -5.01338
3.58 17.9 -4.87037
3.59 17.95 -4.71355
3.6 18 -4.54321
3.61 18.05 -4.35962
3.62 18.1 -4.16313
3.63 18.15 -3.9541
3.64 18.2 -3.73294
3.65 18.25 -3.50009
3.66 18.3 -3.25601
3.67 18.35 -3.00122
3.68 18.4 -2.73626
3.69 18.45 -2.46169
3.7 18.5 -2.17811
3.71 18.55 -1.88616
3.72 18.6 -1.58649
3.73 18.65 -1.27979
3.74 18.7 -0.96675
3.75 18.75 -0.648114
3.76 18.8 -0.324632
3.77 18.85 0.00292486
3.78 18.9 0.333766
3.79 18.95 0.667086
3.8 19 1.00206
3.81 19.05 1.33786
3.82 19.1 1.67365
3.83 19.15 2.00856
3.84 19.2 2.34174
3.85 19.25 2.67232
3.86 19.3 2.99945
3.87 19.35 3.32226
3.88 19.4 3.63988
3.89 19.45 3.95146
3.9 19.5 4.25615
3.91 19.55 4.5531
3.92 19.6 4.84148
3.93 19.65 5.12048
3.94 19.7 5.38929
3.95 19.75 5.64713
3.96 19.8 5.89323
3.97 19.85 6.12685
3.98 19.9 6.34728
3.99 19.95 6.55382
4 20 6.7458
4.01 20.05 6.9226
4.02 20.1 7.08362
4.03 20.15 7.22828
4.04 20.2 7.35605
4.05 20.25 7.46645
4.06 20.3 7.55901
4.07 20.35 7.63332
4.08 20.4 7.68902
4.09 20.45 7.72576
4.1 20.5 7.74328
4.11 20.55 7.74132
4.12 20.6 7.7197
4.13 20.65 7.67828
4.14 20.7 7.61697
4.15 20.75 7.53571
4.16 20.8 7.43451
4.17 20.85 7.31344
4.18 20.9 7.17259
4.19 20.95 7.01213
4.2 21 6.83227
4.21 21.05 6.63327
4.22 21.1 6.41543
4.23 21.15 6.17913
4.24 21.2 5.92478
4.25 21.25 5.65284
4.26 21.3 5.36383
4.27 21.35 5.0583
4.28 21.4 4.73686
4.29 21.45 4.40018
4.3 21.5 4.04895
4.31 21.55 3.68392
4.32 21.6 3.30588
4.33 21.65 2.91564
4.34 21.7 2.51409
4.35 21.75 2.10212
4.36 21.8 1.68068
4.37 21.85 1.25074
4.38 21.9 0.813305
4.39 21.95 0.36941
4.4 22 -0.0798832
4.41 22.05 -0.533489
4.42 22.1 -0.9903
4.43 22.15 -1.44919
4.44 22.2 -1.90902
4.45 22.25 -2.36862
4.46 22.3 -2.82683
4.47 22.35 -3.28248
4.48 22.4 -3.73437
4.49 22.45 -4.18134
4.5 22.5 -4.62218
4.51 22.55 -5.05573
4.52 22.6 -5.48081
4.53 22.65 -5.89626
4.54 22.7 -6.30093
4.55 22.75 -6.69367
4.56 22.8 -7.07338
4.57 22.85 -7.43896
4.58 22.9 -7.78933
4.59 22.95 -8.12347
4.6 23 -8.44036
4.61 23.05 -8.73901
4.62 23.1 -9.0185
4.63 23.15 -9.27791
4.64 23.2 -9.51639
4.65 23.25 -9.73312
4.66 23.3 -9.92734
4.67 23.35 -10.0983
4.68 23.4 -10.2454
4.69 23.45 -10.368
4.7 23.5 -10.4655
4.71 23.55 -10.5374
4.72 23.6 -10.5833
4.73 23.65 -10.6028
4.74 23.7 -10.5956
4.75 23.75 -10.5615
4.76 23.8 -10.5002
4.77 23.85 -10.4116
4.78 23.9 -10.2958
4.79 23.95 -10.1527
4.8 24 -9.98235
4.81 24.05 -9.78498
4.82 24.1 -9.56081
4.83 24.15 -9.31013
4.84 24.2 -9.0333
4.85 24.25 -8.73078
4.86 24.3 -8.40306
4.87 24.35 -8.05073
4.88 24.4 -7.67443
4.89 24.45 -7.27488
4.9 24.5 -6.85286
4.91 24.55 -6.4092
4.92 24.6 -5.94483
4.93 24.65 -5.46071
4.94 24.7 -4.95787
4.95 24.75 -4.4374
4.96 24.8 -3.90044
4.97 24.85 -3.34818
4.98 24.9 -2.78188
4.99 24.95 -2.20283
5 25 -1.61237
